Institution,Word,Count
Cambridge,EXPRESSION,204
Cambridge,RISK,179
Cambridge,GENOME-WIDE ASSOCIATION,159
Cambridge,IN-VIVO,146
Cambridge,CANCER,144
Cambridge,GENE-EXPRESSION,143
Cambridge,BREAST-CANCER,120
Cambridge,Humans,105
Cambridge,GENE,102
Cambridge,PROTEIN,102
Cambridge,POPULATION,97
Cambridge,CELLS,96
Cambridge,DIFFERENTIATION,87
Cambridge,METAANALYSIS,86
Cambridge,IDENTIFICATION,85
Cambridge,ASSOCIATION,81
Cambridge,BINDING,80
Cambridge,ACTIVATION,75
Cambridge,MORTALITY,74
Cambridge,SURVIVAL,72
Cambridge,WOMEN,69
Cambridge,MODEL,68
Cambridge,VARIANTS,66
Cambridge,DISEASE,63
Cambridge,PARTON DISTRIBUTIONS,63
Cambridge,COHORT,62
Cambridge,OBESITY,60
Cambridge,breast cancer,57
Cambridge,MICE,57
Cambridge,LUNG-CANCER,56
Cambridge,Hadron-Hadron Scattering,55
Cambridge,POSITRON-EMISSION-TOMOGRAPHY,54
Cambridge,IN-VITRO,54
Cambridge,LHC,54
Cambridge,COMPLEX,54
Cambridge,LOCI,53
Cambridge,CARDIOVASCULAR-DISEASE,51
Cambridge,RECEPTOR,51
Cambridge,POLYMORPHISMS,48
Cambridge,PROSTATE-CANCER,48
Cambridge,MUTATIONS,48
Cambridge,SUSCEPTIBILITY,48
Cambridge,Animals,47
Cambridge,RISK-FACTORS,45
Cambridge,CARCINOMA,45
Cambridge,COLORECTAL-CANCER,44
Cambridge,NUTRITION,42
Cambridge,EVOLUTION,42
Cambridge,GROWTH,42
Cambridge,Female,42
Cambridge,NATURAL-PRODUCTS,42
Cambridge,PROTEINS,41
Cambridge,SEQUENCE,41
Cambridge,GENOME,41
Cambridge,CHEMISTRY,39
Cambridge,SACCHAROMYCES-CEREVISIAE,39
Cambridge,STEM-CELLS,39
Cambridge,TRIAL,39
Cambridge,inflammation,39
Cambridge,METABOLIC SYNDROME,39
Cambridge,MRI,38
Cambridge,PET,38
Cambridge,DNA,38
Cambridge,EMBRYONIC STEM-CELLS,38
Cambridge,OVARIAN-CANCER,36
Cambridge,PROGRESSION,36
Cambridge,GENES,36
Cambridge,PATHWAY,36
Cambridge,INHIBITION,36
Cambridge,PHYSICAL-ACTIVITY,36
Cambridge,FAMILY,36
Cambridge,SUSCEPTIBILITY LOCI,36
Cambridge,COMMON VARIANTS,36
Cambridge,DIAGNOSIS,35
Cambridge,TRANSCRIPTION,33
Cambridge,BRCA2,33
Cambridge,BODY-MASS INDEX,33
Cambridge,SPECTROSCOPY,33
Cambridge,PATTERNS,33
Cambridge,prostate cancer,32
Cambridge,BLOOD-PRESSURE,32
Cambridge,atherosclerosis,32
Cambridge,NMR,31
Cambridge,PROLIFERATION,30
Cambridge,MEN,30
Cambridge,APOPTOSIS,30
Cambridge,CONFER SUSCEPTIBILITY,30
Cambridge,DERIVATIVES,30
Cambridge,CRYSTAL-STRUCTURE,30
Cambridge,Physical activity,30
Cambridge,DESIGN,29
Cambridge,RECOGNITION,29
Cambridge,DRUG DISCOVERY,29
Cambridge,MOUSE,27
Cambridge,BREAST,27
Cambridge,PATHWAYS,27
Cambridge,VALIDITY,27
Cambridge,THERAPY,27
Cambridge,SUSCEPTIBILITY LOCUS,27
Cambridge,EPIC-NORFOLK,27
Cambridge,HADRON COLLIDERS,27
Cambridge,MANAGEMENT,27
Cambridge,RESISTANCE,27
Cambridge,ESTROGEN-RECEPTOR,27
Cambridge,HYPOXIA,27
Cambridge,HEALTH,27
Cambridge,CELL-CYCLE,27
Cambridge,UNITED-STATES,27
Cambridge,mitosis,27
Cambridge,ADULTS,27
Cambridge,Neoplasms,26
Cambridge,KINETICS,26
Cambridge,MECHANISM,26
Cambridge,Inflammation,25
Cambridge,STABILITY,25
Cambridge,PREDICTION,24
Cambridge,ALZHEIMERS-DISEASE,24
Cambridge,REVEALS,24
Cambridge,CHROMATIN,24
Cambridge,ATLAS,24
Cambridge,ENDOTHELIAL-CELLS,24
Cambridge,MICROARRAY DATA,24
Cambridge,MITOTIC SPINDLE,24
Cambridge,ORGANIC-SYNTHESIS,24
Cambridge,C-MYC,24
Cambridge,NF-KAPPA-B,24
Cambridge,Breast Neoplasms,24
Cambridge,EPITHELIAL-CELLS,24
Cambridge,DOMAIN,24
Cambridge,DYNAMICS,24
Cambridge,EPIC,24
Cambridge,cancer,24
Cambridge,TRANSCRIPTION FACTOR,24
Cambridge,INSULIN-RESISTANCE,24
Cambridge,CORONARY-HEART-DISEASE,24
Cambridge,RANDOMIZED CONTROLLED-TRIAL,24
Cambridge,LOCALIZATION,24
Cambridge,Male,24
Cambridge,ADENOCARCINOMA,24
Cambridge,INSULIN,23
Cambridge,HERA,23
Cambridge,BEHAVIOR,23
Cambridge,RESOLUTION,23
Cambridge,CLASSIFICATION,23
Cambridge,natural products,22
Cambridge,ACUTE MYELOID-LEUKEMIA,22
Cambridge,COLLISIONS,22
Cambridge,CHRONIC MYELOID-LEUKEMIA,21
Cambridge,BRCA1,21
Cambridge,HUMAN GENOME,21
Cambridge,TISSUE,21
Cambridge,PHOSPHORYLATION,21
Cambridge,OXIDATIVE STRESS,21
Cambridge,ALLELES,21
Cambridge,COMPLEXES,21
Cambridge,BLADDER-CANCER,21
Cambridge,PREVALENCE,21
Cambridge,HEART-DISEASE,21
Cambridge,CENTRAL-NERVOUS-SYSTEM,21
Cambridge,COLON-CANCER,21
Cambridge,Middle Aged,21
Cambridge,ESCHERICHIA-COLI,21
Cambridge,Aged,21
Cambridge,PANCREATIC-CANCER,21
Cambridge,Atherosclerosis,21
Cambridge,CAENORHABDITIS-ELEGANS,21
Cambridge,MOLECULES,21
Cambridge,DOUBLE-STRAND BREAKS,21
Cambridge,TUMORS,21
Cambridge,CHEMOTHERAPY,21
Cambridge,METHYLATION,21
Cambridge,Mice,21
Cambridge,MYOCARDIAL-INFARCTION,21
Cambridge,HOMOLOGOUS RECOMBINATION,21
Cambridge,EPIDEMIOLOGY,21
Cambridge,ATHEROSCLEROSIS,21
Cambridge,MAGNETIC-RESONANCE-SPECTROSCOPY,21
Cambridge,SOCIOECONOMIC-STATUS,21
Cambridge,WATER,20
Cambridge,DEGRADATION,20
Cambridge,Type 2 diabetes,20
Cambridge,FILMS,20
Cambridge,CELL-DEATH,20
Cambridge,AQUEOUS-SOLUTION,20
Cambridge,SYSTEM,19
Cambridge,PARTICLES,19
Cambridge,PROGENITORS,19
Cambridge,DISCOVERY,19
Cambridge,TRANSPORT,19
Cambridge,REPLICATION,18
Cambridge,SOMATIC MUTATIONS,18
Cambridge,chromatin,18
Cambridge,GENETICS,18
Cambridge,NANOPARTICLES,18
Cambridge,BIOLOGY,18
Cambridge,KINASE,18
Cambridge,CALIBRATION,18
Cambridge,DNA-BINDING,18
Cambridge,HELICOBACTER-PYLORI,18
Cambridge,cohort study,18
Cambridge,POLYMERS,18
Cambridge,PROMOTER,18
Cambridge,DNA-DAMAGE RESPONSE,18
Cambridge,CONSUMPTION,18
Cambridge,GERMLINE MUTATIONS,18
Cambridge,ENGLAND,18
Cambridge,MOUSE MODEL,18
Cambridge,RECOMBINATION,18
Cambridge,DNA-REPAIR,18
Cambridge,DIABETES-MELLITUS,18
Cambridge,LESIONS,18
Cambridge,SERUM,18
Cambridge,GROWTH-FACTOR,18
Cambridge,ovarian cancer,18
Cambridge,SYSTEMIC-LUPUS-ERYTHEMATOSUS,18
Cambridge,DROSOPHILA,18
Cambridge,TUMOR-SUPPRESSOR,18
Cambridge,PROGENITOR CELLS,18
Cambridge,POSTMENOPAUSAL WOMEN,18
Cambridge,LIVING CELLS,18
Cambridge,MASS-SPECTROMETRY,18
Cambridge,PHENOTYPE,18
Cambridge,BRCA2 MUTATION CARRIERS,18
Cambridge,CONSORTIUM,18
Cambridge,SMALL-MOLECULE,18
Cambridge,OVEREXPRESSION,18
Cambridge,TRANSLOCATION,18
Cambridge,RNA,18
Cambridge,Mitochondria,17
Cambridge,TARGETS,17
Cambridge,NITRIC-OXIDE,17
Cambridge,ABSORPTION,17
Cambridge,C-REACTIVE PROTEIN,17
Cambridge,SYSTEMS,17
Cambridge,LIGHT-SCATTERING,17
Cambridge,SURFACES,17
Cambridge,LIGAND,17
Cambridge,Cohort study,17
Cambridge,SUPERGAUGE TRANSFORMATIONS,17
Cambridge,flow chemistry,17
Cambridge,Biomarkers,17
Cambridge,MICROREACTOR,17
Cambridge,Models,17
Cambridge,Barrett's oesophagus,17
Cambridge,BIOMARKERS,17
Cambridge,REACTOR,16
Cambridge,INHIBITORS,16
Cambridge,COMPOSITES,16
Cambridge,MECHANICAL-PROPERTIES,16
Cambridge,LIGAND-BINDING,15
